"_id","iconeClima","nomeClima","descricaoClima","temperatura","sensacao","tempMin","tempMax","pressaoAr","umidade","velocidadeVento","direcaoVento","chuva","neve","nuvens","data","__v"
"b7e4c91a2de34567abc00101","10d","Rain","chuva leve",22.3,22.1,21.7,23.1,1006,92,3.4,210,2.4,,98,"2025-10-05T14:00:00Z",0
"c8f5d21b1cd44567abc00102","10d","Rain","chuva moderada",21.1,20.8,20.2,22.0,1004,96,4.2,190,6.3,,100,2025-10-05T15:00:00Z,0
"a9e4b81c3af24567abc00103","10d","Rain","chuva leve",23.0,22.5,22.0,24.2,1005,88,3.0,175,1.1,,95,"2025-10-11T09:00:00Z",0
"aae4b81c3af24567abc00104","10d","Rain","chuva leve",24.1,23.8,23.0,25.0,1007,90,2.1,160,0.6,,90,"2025-10-11T10:00:00Z",0
"abf4c82d3bc44567abc00105","11d","Thunderstorm","trovoadas",20.4,20.0,19.2,21.1,1003,98,6.1,230,12.5,,100,"2025-10-12T18:00:00Z",0
"a3d4a72b12d24567abc00106","11d","Thunderstorm","trovoadas",19.8,19.4,18.9,20.7,1002,97,7.4,240,22.0,,100,"2025-10-12T19:00:00Z",0
"f2c4b61a9ef44567abc00107","10d","Rain","chuva leve",25.3,25.0,24.6,26.1,1008,85,2.8,155,0.3,,88,"2025-10-17T16:00:00Z",0
"e3d5821c8dc44567abc00108","10d","Rain","chuva moderada",22.8,22.2,21.8,23.9,1006,93,4.0,180,3.9,,95,"2025-10-20T21:00:00Z",0
"e3d5821c8dc44567abc00109","10d","Rain","chuva forte",20.9,20.4,19.4,21.3,1004,97,5.3,200,9.8,,100,"2025-10-20T22:00:00Z",0
"d2a4b91d7ab34567abc00110","10d","Rain","chuva leve",23.5,23.1,22.8,24.3,1007,91,3.3,175,1.0,,92,"2025-10-23T06:00:00Z",0
"d2a4b91d7ab34567abc00111","10d","Rain","chuva leve",22.9,22.4,21.9,23.7,1006,93,4.1,165,0.4,,96,"2025-10-23T07:00:00Z",0
"d2a4b91d7ab34567abc00112","10d","Rain","chuva moderada",22.2,21.7,20.9,23.0,1005,95,4.9,160,5.5,,100,"2025-10-23T08:00:00Z",0
"c2a4b61e7bb44567abc00113","10d","Rain","chuva leve",24.7,24.3,23.9,25.6,1008,89,2.6,150,0.7,,90,2025-10-28T15:00:00Z,0
"c2a4b61e7bb44567abc00114","10d","Rain","chuva fraca",25.0,24.6,24.4,26.1,1009,87,2.0,130,0.2,,86,"2025-10-28T16:00:00Z",0
"b7f4c21e7bc44567abc00115","10d","Rain","chuva leve",23.8,23.3,22.9,24.6,1007,88,3.1,140,0.4,,88,"2025-10-29T11:00:00Z",0
